Model,RMSE,MAE,R2
Linear Regression,34414.58084925178,27425.670179698354,0.30628817607977754
Random Forest,34097.171233088884,26454.202652914664,0.3190255319250762
XGBoost,33522.21352210644,26256.318434460398,0.3417975356277754
